0,a,a,0,0
1,à,a,0,2
2,ả,a,0,3
3,ã,a,0,4
4,á,a,0,1
5,ạ,a,0,5
6,ă,a,8,0
7,ằ,a,8,2
8,ẳ,a,8,3
9,ẵ,a,8,4
10,ắ,a,8,1
11,ặ,a,8,5
12,â,a,6,0
13,ầ,a,6,2
14,ẩ,a,6,3
15,ẫ,a,6,4
16,ấ,a,6,1
17,ậ,a,6,5
18,b,b,0,0
19,c,c,0,0
20,d,d,0,0
21,đ,d,9,0
22,e,e,0,0
23,è,e,0,2
24,ẻ,e,0,3
25,ẽ,e,0,4
26,é,e,0,1
27,ẹ,e,0,5
28,ê,e,6,0
29,ề,e,6,2
30,ể,e,6,3
31,ễ,e,6,4
32,ế,e,6,1
33,ệ,e,6,5
34,f,f,0,0
35,g,g,0,0
36,h,h,0,0
37,i,i,0,0
38,ì,i,0,2
39,ỉ,i,0,3
40,ĩ,i,0,4
41,í,i,0,1
42,ị,i,0,5
43,j,j,0,0
44,k,k,0,0
45,l,l,0,0
46,n,n,0,0
47,o,o,0,0
48,ò,o,0,2
49,ỏ,o,0,3
50,õ,o,0,4
51,ó,o,0,1
52,ọ,o,0,5
53,ô,o,6,0
54,ồ,o,6,2
55,ổ,o,6,3
56,ỗ,o,6,4
57,ố,o,6,1
58,ộ,o,6,5
59,ơ,o,7,0
60,ờ,o,7,2
61,ở,o,7,3
62,ỡ,o,7,4
63,ớ,o,7,1
64,ợ,o,7,5
65,p,p,0,0
66,q,q,0,0
67,u,u,0,0
68,ù,u,0,2
69,ủ,u,0,3
70,ũ,u,0,4
71,ú,u,0,1
72,ụ,u,0,5
73,ư,u,7,0
74,ừ,u,7,2
75,ử,u,7,3
76,ữ,u,7,4
77,ứ,u,7,1
78,ự,u,7,5
79,v,v,0,0
80,w,w,0,0
81,x,x,0,0
82,y,y,0,0
83,ỳ,y,0,2
84,ỷ,y,0,3
85,ỹ,y,0,4
86,ý,y,0,1
87,ỵ,y,0,5
88,A,A,0,0
89,À,A,0,2
90,Ả,A,0,3
91,Ã,A,0,4
92,Á,A,0,1
93,Ạ,A,0,5
94,Ă,A,8,0
95,Ằ,A,8,2
96,Ẳ,A,8,3
97,Ẵ,A,8,4
98,Ắ,A,8,1
99,Ặ,A,8,5
100,Â,A,6,0
101,Ầ,A,6,2
102,Ẩ,A,6,3
103,Ẫ,A,6,4
104,Ấ,A,6,1
105,Ậ,A,6,5
106,B,B,0,0
107,C,C,0,0
108,D,D,0,0
109,Đ,D,9,0
110,E,E,0,0
111,È,E,0,2
112,Ẻ,E,0,3
113,Ẽ,E,0,4
114,É,E,0,1
115,Ẹ,E,0,5
116,Ê,E,6,0
117,Ề,E,6,2
118,Ể,E,6,3
119,Ễ,E,6,4
120,Ế,E,6,1
121,Ệ,E,6,5
122,F,F,0,0
123,G,G,0,0
124,H,H,0,0
125,I,I,0,0
126,Ì,I,0,2
127,Ỉ,I,0,3
128,Ĩ,I,0,4
129,Í,I,0,1
130,Ị,I,0,5
131,J,J,0,0
132,K,K,0,0
133,L,L,0,0
134,N,N,0,0
135,O,O,0,0
136,Ò,O,0,2
137,Ỏ,O,0,3
138,Õ,O,0,4
139,Ó,O,0,1
140,Ọ,O,0,5
141,Ô,O,6,0
142,Ồ,O,6,2
143,Ổ,O,6,3
144,Ỗ,O,6,4
145,Ố,O,6,1
146,Ộ,O,6,5
147,Ơ,O,7,0
148,Ờ,O,7,2
149,Ở,O,7,3
150,Ỡ,O,7,4
151,Ớ,O,7,1
152,Ợ,O,7,5
153,P,P,0,0
154,Q,Q,0,0
155,U,U,0,0
156,Ù,U,0,2
157,Ủ,U,0,3
158,Ũ,U,0,4
159,Ú,U,0,1
160,Ụ,U,0,5
161,Ư,U,7,0
162,Ừ,U,7,2
163,Ử,U,7,3
164,Ữ,U,7,4
165,Ứ,U,7,1
166,Ự,U,7,5
167,V,V,0,0
168,W,W,0,0
169,X,X,0,0
170,Y,Y,0,0
171,Ỳ,Y,0,2
172,Ỷ,Y,0,3
173,Ỹ,Y,0,4
174,Ý,Y,0,1
175,Ỵ,Y,0,5
176,M,M,0,0
177,R,R,0,0
178,S,S,0,0
179,T,T,0,0
180,Z,Z,0,0
181,m,m,0,0
182,r,r,0,0
183,s,s,0,0
184,t,t,0,0
185,z,z,0,0
